age,sex,height_cm,weight_kg,bmi,avg_surplus,days,weight_change
46,Male,181.0,88.5,27.0,-805,7,-0.65
43,Male,169.0,120.7,42.3,-482,30,-1.73
58,Female,155.0,47.7,19.9,-826,30,-3.19
70,Male,166.0,80.0,29.0,-535,60,-3.94
52,Male,175.0,90.9,29.7,180,90,2.76
37,Male,168.0,57.5,20.4,-672,21,-1.68
37,Female,166.0,80.7,29.3,-505,7,-0.25
38,Male,161.0,78.4,30.2,-697,21,-1.66
60,Male,158.0,84.0,33.6,-323,7,0.31
32,Female,151.0,82.2,36.1,242,60,1.34
24,Male,182.0,69.5,21.0,-94,30,-0.76
33,Male,167.0,80.9,29.0,-600,60,-4.64
16,Male,175.0,80.4,26.3,-420,21,-1.01
20,Female,166.0,90.2,32.7,105,90,0.54
20,Male,178.0,76.9,24.3,-182,90,-2.13
58,Female,161.0,61.3,23.6,-210,90,-2.51
55,Male,184.0,82.2,24.3,398,60,3.32
54,Male,169.0,80.9,28.3,329,14,0.72
40,Male,175.0,71.4,23.3,-534,7,-0.96
55,Male,175.0,88.0,28.7,157,90,1.52
24,Male,173.0,93.4,31.2,287,90,2.84
65,Male,172.0,88.2,29.8,450,90,5.49
43,Male,176.0,62.4,20.1,-504,30,-1.86
67,Female,165.0,62.6,23.0,192,90,2.05
23,Female,164.0,66.4,24.7,-620,21,-1.66
42,Female,156.0,50.2,20.6,-233,7,-0.49
53,Female,147.0,68.1,31.5,-791,14,-0.71
42,Female,165.0,68.7,25.2,6,90,0.22
39,Female,156.0,58.3,24.0,126,30,0.69
24,Female,167.0,93.5,33.5,-230,90,-2.11
36,Male,158.0,93.8,37.6,-283,90,-2.72
28,Female,155.0,80.8,33.6,-537,60,-3.76
31,Male,170.0,71.6,24.8,256,7,0.19
53,Female,179.0,44.5,13.9,466,14,1.3
50,Female,167.0,71.4,25.6,-701,21,-1.9
49,Male,175.0,57.7,18.8,-486,7,-0.65
35,Male,190.0,93.1,25.8,5,90,0.55
68,Male,173.0,80.2,26.8,-351,14,-0.93
19,Male,185.0,100.6,29.4,-881,21,-2.78
34,Female,144.0,54.9,26.5,-869,60,-6.53
21,Female,174.0,67.7,22.4,-550,7,-0.66
33,Female,173.0,58.1,19.4,552,30,2.26
68,Female,165.0,46.7,17.2,15,7,0.59
35,Male,170.0,69.2,23.9,-517,90,-6.39
65,Male,167.0,64.7,23.2,-816,60,-6.37
42,Female,160.0,71.7,28.0,235,21,1.03
54,Female,175.0,73.4,24.0,-334,60,-2.41
40,Female,163.0,73.3,27.6,-310,14,-0.61
29,Male,181.0,91.6,28.0,-57,7,0.52
57,Female,150.0,79.1,35.2,-558,7,-0.48
69,Female,172.0,74.9,25.3,192,14,0.48
29,Male,169.0,71.2,24.9,-430,60,-2.96
58,Male,164.0,66.5,24.7,159,30,0.91
29,Male,191.0,79.3,21.7,-124,14,0.09
55,Male,177.0,91.8,29.3,-678,60,-5.54
59,Male,179.0,77.2,24.1,35,21,0.46
40,Female,163.0,80.9,30.4,-788,7,-0.6
56,Female,158.0,61.4,24.6,173,60,1.13
30,Male,179.0,81.1,25.3,-336,21,-0.86
19,Female,163.0,49.6,18.7,106,30,0.45
20,Female,169.0,75.2,26.3,-539,30,-1.69
40,Male,193.0,74.4,20.0,-289,7,-0.16
65,Male,167.0,71.3,25.6,-442,7,-0.64
22,Male,167.0,82.4,29.5,-524,7,-0.7
40,Female,156.0,57.0,23.4,-386,14,-0.71
54,Female,155.0,105.9,44.1,-820,14,-1.73
26,Female,161.0,71.9,27.7,-304,90,-3.72
55,Female,150.0,54.5,24.2,-716,60,-5.65
32,Male,175.0,65.7,21.5,-122,90,-1.53
60,Male,168.0,54.0,19.1,-764,21,-1.87
47,Female,163.0,71.9,27.1,-887,14,-1.81
45,Male,172.0,90.9,30.7,-241,21,-1.26
24,Male,173.0,88.5,29.6,-453,90,-5.68
40,Male,180.0,96.2,29.7,416,21,1.13
62,Male,173.0,40.0,13.4,-504,30,-2.34
16,Male,173.0,96.8,32.3,-301,7,-0.51
57,Male,175.0,83.0,27.1,-546,90,-5.81
42,Male,181.0,54.8,16.7,435,30,2.08
55,Female,156.0,74.0,30.4,283,90,2.96
52,Female,157.0,64.0,26.0,-642,14,-1.1
39,Female,168.0,58.0,20.5,-523,30,-2.11
32,Female,159.0,80.0,31.6,-621,14,-1.32
50,Female,178.0,44.5,14.0,-674,21,-1.73
22,Male,180.0,55.9,17.3,-539,14,-0.89
47,Female,155.0,68.1,28.3,378,7,-0.2
20,Female,159.0,63.1,25.0,-212,21,-0.53
51,Female,156.0,46.1,18.9,-326,30,-1.18
50,Male,174.0,99.0,32.7,-614,7,-0.59
19,Male,171.0,59.4,20.3,-624,21,-1.24
57,Female,153.0,71.5,30.5,-67,7,0.53
38,Female,158.0,65.3,26.2,227,30,0.79
59,Female,167.0,95.7,34.3,-63,14,-0.17
17,Female,171.0,79.3,27.1,86,7,0.01
25,Male,176.0,71.4,23.1,-508,30,-2.12
42,Male,168.0,87.8,31.1,518,90,5.21
25,Female,161.0,48.0,18.5,334,90,4.02
33,Female,168.0,73.6,26.1,417,90,5.36
51,Male,164.0,61.2,22.8,102,14,0.62
23,Male,171.0,98.8,33.8,142,14,0.41
52,Male,172.0,100.0,33.8,-794,90,-9.04
20,Male,178.0,101.3,32.0,-659,30,-2.72
24,Female,162.0,78.8,30.0,-702,30,-2.49
47,Male,170.0,66.7,23.1,-175,60,-0.92
59,Female,164.0,59.3,22.0,-18,7,0.15
24,Male,174.0,61.5,20.3,-722,30,-2.88
31,Female,168.0,54.1,19.2,228,30,1.22
66,Male,171.0,90.7,31.0,-76,90,-0.56
70,Female,159.0,50.4,19.9,-7,21,0.34
47,Female,163.0,54.4,20.5,476,30,1.35
40,Female,158.0,61.6,24.7,-23,60,-0.09
34,Female,161.0,58.1,22.4,-895,14,-1.19
49,Female,180.0,54.4,16.8,253,7,0.4
48,Female,163.0,46.8,17.6,414,21,1.5
31,Male,165.0,83.4,30.6,-775,30,-2.71
16,Male,188.0,80.1,22.7,-91,21,-0.23
23,Male,174.0,83.4,27.5,-195,60,-1.2
68,Male,175.0,87.2,28.5,-673,14,-1.44
38,Female,167.0,84.0,30.1,-486,7,-0.59
42,Male,180.0,65.4,20.2,384,60,2.87
41,Male,168.0,91.4,32.4,-313,90,-3.29
58,Female,171.0,58.9,20.1,-95,30,-0.85
18,Male,179.0,71.5,22.3,266,14,0.64
19,Male,170.0,81.5,28.2,-228,21,-0.66
30,Female,168.0,53.5,19.0,437,21,1.4
42,Female,156.0,63.3,26.0,-150,21,-0.97
52,Female,157.0,63.2,25.6,579,14,1.3
42,Female,162.0,100.1,38.1,-679,21,-1.31
39,Female,150.0,60.3,26.8,433,14,0.9
67,Female,168.0,78.9,28.0,-731,21,-1.98
24,Male,169.0,69.9,24.5,320,21,1.07
47,Female,159.0,74.4,29.4,92,30,0.71
45,Male,166.0,51.9,18.8,-61,60,-0.33
41,Male,183.0,88.2,26.3,421,14,0.92
60,Female,160.0,75.4,29.5,61,7,0.55
29,Female,162.0,88.0,33.5,142,60,1.18
68,Male,174.0,63.7,21.0,232,14,0.17
33,Female,159.0,82.3,32.6,362,90,4.12
45,Female,157.0,101.3,41.1,-552,30,-1.97
44,Female,170.0,76.7,26.5,368,30,1.44
62,Male,173.0,76.5,25.6,-16,21,-0.01
39,Female,161.0,65.7,25.3,-852,60,-6.39
30,Male,186.0,74.6,21.6,478,30,2.28
16,Female,165.0,61.5,22.6,257,90,3.01
35,Male,170.0,60.8,21.0,438,7,0.83
61,Female,159.0,64.1,25.4,258,14,0.52
15,Male,174.0,95.9,31.7,-382,14,-0.33
65,Male,175.0,99.1,32.4,-375,14,-0.55
45,Male,199.0,84.6,21.4,-486,90,-5.81
22,Female,154.0,68.0,28.7,-285,7,0.17
31,Male,177.0,68.5,21.9,-848,7,-0.91
46,Female,168.0,58.8,20.8,218,21,0.42
32,Male,175.0,102.3,33.4,229,14,0.07
21,Male,176.0,98.4,31.8,580,14,1.23
52,Female,162.0,53.9,20.5,-74,30,0.14
52,Female,159.0,79.2,31.3,582,30,2.15
21,Male,179.0,77.4,24.2,-585,90,-7.06
30,Male,178.0,78.2,24.7,-189,21,-0.52
28,Male,180.0,101.5,31.3,274,90,2.81
51,Female,157.0,63.6,25.8,285,14,0.23
55,Female,166.0,46.1,16.7,261,14,0.38
55,Male,176.0,79.1,25.5,-201,21,-0.4
67,Female,158.0,74.1,29.7,-791,7,-0.91
58,Male,170.0,87.4,30.2,399,7,0.41
32,Male,173.0,67.1,22.4,-328,21,-1.33
21,Female,154.0,82.6,34.8,75,30,0.64
49,Female,169.0,68.6,24.0,-700,14,-1.38
66,Male,168.0,53.4,18.9,505,14,1.19
69,Female,145.0,77.2,36.7,-515,7,-0.36
27,Male,162.0,49.3,18.8,596,7,0.64
28,Female,156.0,57.7,23.7,173,90,1.75
17,Male,163.0,92.6,34.9,-405,7,-0.49
22,Male,167.0,78.0,28.0,-346,60,-2.86
46,Male,172.0,58.3,19.7,569,60,4.44
45,Female,161.0,71.2,27.5,-9,14,0.34
35,Female,153.0,46.9,20.0,139,14,0.36
32,Male,181.0,74.8,22.8,19,21,-0.17
61,Female,161.0,43.5,16.8,-543,30,-2.3
40,Female,165.0,54.9,20.2,-702,7,-0.66
60,Male,179.0,69.3,21.6,-896,60,-7.09
68,Female,159.0,81.8,32.4,-293,21,-0.72
32,Female,162.0,57.5,21.9,126,21,0.53
26,Male,185.0,72.4,21.2,-448,90,-5.4
68,Male,182.0,69.9,21.1,-567,7,-0.62
50,Male,180.0,104.7,32.3,-317,90,-3.06
31,Female,176.0,76.1,24.6,-553,30,-2.04
49,Female,162.0,50.8,19.4,-248,21,-0.32
43,Male,186.0,74.4,21.5,-72,7,0.32
65,Male,178.0,56.6,17.9,-492,7,-0.91
29,Male,183.0,65.7,19.6,-854,60,-6.59
70,Male,178.0,82.8,26.1,-748,21,-2.2
67,Male,175.0,65.0,21.2,-276,60,-2.53
25,Male,173.0,81.9,27.4,-634,60,-5.12
24,Female,151.0,71.4,31.3,299,21,0.67
44,Male,173.0,80.6,26.9,-653,14,-1.27
17,Female,172.0,73.6,24.9,-860,14,-1.69
31,Male,162.0,65.3,24.9,29,30,0.11
39,Male,171.0,73.7,25.2,36,60,0.91
69,Female,169.0,79.2,27.7,108,21,-0.25
70,Female,164.0,47.6,17.7,-663,30,-2.48
23,Female,156.0,54.3,22.3,121,30,0.47
64,Female,163.0,68.2,25.7,395,7,0.22
20,Male,178.0,77.9,24.6,7,30,-0.42
56,Male,169.0,60.7,21.3,-314,60,-2.22
62,Female,167.0,67.1,24.1,-178,90,-2.52
64,Female,159.0,67.2,26.6,318,21,1.12
27,Female,161.0,74.2,28.6,-686,14,-0.84
65,Female,161.0,81.6,31.5,186,90,1.56
21,Male,182.0,87.3,26.4,-496,90,-5.54
44,Male,183.0,74.8,22.3,417,60,3.26
41,Male,176.0,47.2,15.2,-691,21,-2.62
32,Female,162.0,90.0,34.3,-125,14,-0.5
16,Female,161.0,72.0,27.8,-299,30,-1.13
58,Male,178.0,99.6,31.4,-171,14,-0.16
33,Female,167.0,58.4,20.9,-327,60,-2.94
52,Female,157.0,44.6,18.1,-844,21,-2.52
37,Male,186.0,81.7,23.6,387,14,0.91
35,Male,189.0,79.3,22.2,-99,60,-0.52
64,Female,169.0,63.5,22.2,1,21,-0.12
20,Female,166.0,73.4,26.6,-117,7,-0.01
56,Male,165.0,81.2,29.8,-107,60,-0.52
56,Male,179.0,89.1,27.8,10,14,0.27
36,Male,165.0,96.3,35.4,-271,30,-0.73
29,Female,168.0,78.9,28.0,-704,30,-2.72
15,Male,177.0,75.4,24.1,-857,7,-0.8
67,Female,152.0,70.5,30.5,-90,7,0.01
68,Male,182.0,69.5,21.0,-621,60,-5.08
28,Male,179.0,53.8,16.8,-219,7,0.04
16,Male,179.0,78.4,24.5,8,14,-0.31
21,Female,165.0,40.0,14.7,-6,60,-0.16
18,Male,174.0,75.7,25.0,-648,14,-1.19
61,Female,166.0,64.9,23.6,91,30,0.5
64,Male,159.0,84.3,33.3,512,7,0.62
23,Female,158.0,95.4,38.2,-358,30,-0.92
56,Male,169.0,71.7,25.1,-723,60,-5.61
25,Male,182.0,60.4,18.2,-144,14,-0.45
35,Female,159.0,52.0,20.6,25,14,0.01
48,Female,158.0,91.9,36.8,-307,30,-1.16
55,Female,170.0,73.7,25.5,-1,60,0.14
63,Male,170.0,87.8,30.4,249,30,0.55
17,Female,172.0,65.5,22.1,-33,60,-0.29
26,Male,176.0,42.5,13.7,295,21,1.26
30,Female,157.0,56.6,23.0,-681,7,-0.58
32,Female,142.0,67.0,33.2,-461,90,-5.11
70,Female,169.0,69.4,24.3,-67,60,-0.63
58,Female,160.0,49.6,19.4,-511,7,-1.13
32,Female,156.0,61.2,25.1,592,14,1.06
69,Female,158.0,50.6,20.3,118,21,0.85
42,Male,182.0,73.5,22.2,-282,7,-0.57
43,Male,177.0,70.6,22.5,261,90,2.66
39,Female,163.0,69.1,26.0,575,14,0.88
23,Female,171.0,45.5,15.6,-884,14,-1.56
67,Female,165.0,49.1,18.0,-65,14,0.41
15,Female,160.0,48.5,18.9,-259,90,-2.93
24,Male,189.0,96.1,26.9,233,14,0.13
27,Male,179.0,75.1,23.4,-439,21,-1.2
30,Female,168.0,70.1,24.8,-412,60,-2.78
22,Female,169.0,40.2,14.1,250,7,0.18
16,Male,194.0,81.1,21.5,436,7,0.43
52,Male,176.0,70.1,22.6,-685,7,-0.55
69,Male,187.0,85.6,24.5,22,14,-0.45
21,Male,169.0,63.6,22.3,268,14,0.71
31,Female,154.0,63.9,26.9,-654,90,-7.44
43,Female,156.0,54.6,22.4,92,90,0.55
66,Female,160.0,89.1,34.8,570,30,1.58
53,Female,167.0,47.0,16.9,365,90,4.42
57,Male,169.0,88.1,30.8,-609,7,-0.28
47,Male,183.0,85.1,25.4,586,30,2.08
38,Male,185.0,86.2,25.2,-365,21,-0.89
26,Male,187.0,77.9,22.3,-185,7,-0.21
63,Female,168.0,40.0,14.2,-463,30,-1.96
60,Male,176.0,63.6,20.5,149,21,0.56
16,Male,173.0,60.4,20.2,-712,60,-5.49
55,Female,152.0,88.5,38.3,165,21,0.4
19,Female,165.0,96.7,35.5,-818,21,-1.94
56,Male,167.0,99.4,35.6,367,14,0.66
61,Male,167.0,83.6,30.0,-411,21,-1.18
22,Female,160.0,75.3,29.4,-123,7,-0.21
39,Female,170.0,51.3,17.8,-558,30,-1.91
21,Female,155.0,57.3,23.9,-739,21,-2.11
46,Male,184.0,77.0,22.7,-866,14,-1.2
66,Male,181.0,82.1,25.1,570,21,1.34
19,Male,186.0,79.0,22.8,-696,90,-7.96
37,Female,167.0,46.6,16.7,-815,60,-6.53
69,Female,165.0,55.2,20.3,-129,90,-1.62
31,Female,162.0,79.3,30.2,544,21,1.17
22,Female,160.0,64.5,25.2,-776,21,-2.21
42,Female,168.0,66.8,23.7,-517,7,-0.48
43,Male,168.0,96.5,34.2,-66,60,-0.38
52,Male,175.0,77.3,25.2,-161,7,-0.16
32,Female,154.0,55.4,23.4,-682,90,-8.07
68,Male,191.0,95.3,26.1,526,60,4.72
44,Male,168.0,93.8,33.2,-363,21,-0.94
31,Male,179.0,59.9,18.7,115,30,0.3
68,Male,179.0,78.3,24.4,-213,90,-2.23
66,Female,168.0,95.4,33.8,-22,7,0.25
42,Female,166.0,76.2,27.7,457,60,3.93
16,Female,160.0,77.1,30.1,-411,90,-3.91
48,Male,189.0,57.2,16.0,322,30,1.48
46,Male,184.0,106.8,31.5,-462,30,-1.7
23,Male,167.0,66.1,23.7,-425,30,-2.09
50,Male,181.0,48.1,14.7,-851,7,-1.11
62,Female,165.0,75.3,27.7,-380,90,-4.38
20,Female,161.0,56.2,21.7,-20,14,-0.3
55,Female,152.0,57.9,25.1,60,21,-0.3
22,Male,177.0,116.4,37.2,-255,90,-2.67
56,Female,159.0,47.3,18.7,-365,7,-0.11
38,Male,176.0,56.6,18.3,-564,21,-1.76
15,Male,159.0,78.4,31.0,457,30,1.79
69,Female,161.0,40.0,15.4,-324,14,-0.45
24,Male,170.0,91.0,31.5,-441,60,-2.83
48,Male,166.0,64.7,23.5,512,30,2.59
25,Female,159.0,76.9,30.4,55,14,0.69
67,Male,179.0,60.8,19.0,373,14,0.91
56,Female,163.0,85.3,32.1,-317,14,-0.65
60,Male,170.0,85.6,29.6,-254,60,-1.96
39,Female,149.0,57.2,25.8,195,30,1.17
41,Male,183.0,73.6,22.0,570,60,4.21
50,Male,168.0,69.7,24.7,283,60,2.61
58,Female,158.0,71.8,28.8,-207,60,-1.66
62,Male,182.0,66.2,20.0,-3,90,0.03
15,Female,146.0,56.2,26.4,-376,30,-1.63
52,Male,175.0,69.7,22.8,-216,21,-0.97
21,Female,169.0,71.5,25.0,-318,60,-2.54
31,Female,173.0,50.9,17.0,-751,90,-9.34
61,Male,171.0,91.9,31.4,412,14,0.46
29,Male,176.0,74.2,24.0,-695,21,-1.51
59,Female,156.0,80.5,33.1,-499,90,-5.42
40,Female,163.0,72.4,27.2,-520,30,-2.3
28,Male,177.0,66.3,21.2,-567,7,-0.46
33,Male,191.0,87.5,24.0,-154,21,-0.25
44,Female,162.0,80.9,30.8,541,14,0.94
57,Female,161.0,78.1,30.1,-407,21,-0.95
48,Male,175.0,72.1,23.5,202,90,2.8
67,Male,189.0,74.4,20.8,199,90,2.36
63,Female,165.0,49.8,18.3,246,90,3.02
57,Male,177.0,89.2,28.5,34,60,-0.07
48,Male,174.0,75.5,24.9,211,30,1.17
31,Female,158.0,47.4,19.0,242,30,0.84
38,Male,176.0,102.0,32.9,125,21,0.22
21,Female,166.0,44.0,16.0,-62,7,0.17
35,Male,175.0,72.1,23.5,-764,7,-0.18
66,Female,155.0,71.1,29.6,-138,30,-0.46
38,Male,173.0,93.4,31.2,231,30,0.77
21,Female,152.0,71.2,30.8,-387,14,-0.63
51,Male,185.0,75.5,22.1,-527,7,-0.61
68,Male,170.0,79.7,27.6,-9,7,-0.12
63,Female,176.0,66.2,21.4,-702,14,-1.38
30,Female,175.0,60.9,19.9,179,90,2.31
40,Female,159.0,83.2,32.9,575,21,1.39
44,Male,184.0,96.9,28.6,-174,90,-1.67
28,Male,165.0,86.0,31.6,-859,90,-9.06
30,Female,163.0,40.0,15.1,-493,90,-6.43
28,Female,163.0,73.0,27.5,-853,90,-9.67
70,Male,173.0,88.4,29.5,-211,14,-0.38
56,Female,168.0,92.4,32.7,-435,90,-4.61
62,Female,161.0,75.3,29.0,260,90,3.05
60,Female,166.0,84.5,30.7,367,60,3.01
68,Female,157.0,88.2,35.8,-248,14,-0.31
20,Female,166.0,85.5,31.0,567,14,1.2
64,Female,158.0,77.3,31.0,-226,30,-0.86
18,Female,165.0,47.0,17.3,-723,7,-0.49
41,Female,165.0,64.9,23.8,463,60,3.67
48,Female,162.0,69.2,26.4,-307,21,-0.59
35,Male,185.0,48.2,14.1,429,7,0.67
23,Female,151.0,64.5,28.3,202,14,0.15
25,Female,155.0,86.9,36.2,510,21,1.27
61,Female,160.0,54.4,21.2,68,30,0.55
32,Female,152.0,76.2,33.0,-11,30,0.23
32,Male,177.0,87.3,27.9,-550,21,-1.19
66,Female,159.0,53.0,21.0,-481,30,-1.84
23,Male,162.0,61.0,23.2,-406,90,-4.4
66,Male,175.0,80.9,26.4,-436,21,-1.39
66,Male,166.0,67.5,24.5,-8,21,-0.49
